HGNC_Symbol,LFC,p
CFLAR,0.45,0.5332
CAT,0.8,0.29447
DCTD,-0.76,0.0621
CYB561,-0.91,0.01338
PRKX,-0.41,0.07986
RGS2,0.75,0.01558
CLTB,0.35,0.09959
UBE2A,-1.05,0.00113
TMEM97,-0.1,0.82175
DNAJB6,-0.27,0.19412
P4HTM,-0.22,0.24015
TSPAN6,-1.57,2.7e-4
NENF,0.12,0.60849
TLR4,-2.16,0.02082
CRELD2,-0.02,0.92241
KIT,-0.33,0.29714
HPRT1,0.01,0.96479
CTSL,-1.28,0.00111
SKP1,-0.39,0.07722
RRAGA,-0.09,0.70405
SMARCC1,-0.12,0.53481
UBE2J1,-0.41,0.08403
GNAS,0.11,0.64961
NUDT9,-0.44,0.11391
GSTM2,-0.43,0.20485
CTNND1,0.56,0.00677
REEP5,0.14,0.59641
SLC35A3,-0.26,0.52551
RRP8,0.36,0.1513
CTNNAL1,-0.68,0.08021
WDTC1,-0.54,0.01053
C2CD2,-0.6,0.21165
ABCF3,0.38,0.06434
ATMIN,-0.19,0.30711
KLHL9,-0.02,0.89685
TNFRSF21,-2.08,0
ZDHHC6,-0.1,0.66964
METRN,-0.81,0.01129
THAP11,0.11,0.63041
TCFL5,0.08,0.7567
PLEKHJ1,-0.38,0.07638
LRRC41,-0.36,0.07867
NET1,-0.31,0.27239
HLA-DMA,NA,NA
BACE2,NA,NA
RAI14,0.12,0.53576
KLHDC2,-0.06,0.78078
SH3BP5,0.22,0.31109
LRP10,-1.82,2e-5
TM9SF2,-0.49,0.0296
ENOSF1,-1.78,0.01018
ALAS1,0,0.99455
ATP6V0B,-0.01,0.96401
ST6GALNAC2,NA,NA
FZD7,-0.66,0.03077
BAG3,-1.04,0.00265
NFKBIA,0.2,0.52434
S100A13,-3.01,6.2e-4
NISCH,0.02,0.94985
DUSP14,-0.79,0.01243
HS2ST1,-0.82,0.00221
MPZL1,-0.47,0.18782
PRKACA,-0.06,0.77283
CDK19,0.48,0.07524
MBOAT7,-0.16,0.44541
LGALS8,1.82,0.01463
RALGDS,0.28,0.15046
RASA1,-0.03,0.86442
CSNK1A1,-0.29,0.20003
NOLC1,0.2,0.29652
HES1,-1.94,1e-4
INTS3,-0.08,0.64131
DHDDS,0.25,0.24417
UBQLN2,0.47,0.0255
MAPKAPK5,0.32,0.1346
ASCC3,-0.63,0.01237
HMGCS1,0.14,0.59624
CEBPD,NA,NA
RTN2,0.57,0.00685
PLEKHM1,0.3,0.2005
B4GAT1,-0.17,0.50789
RNPS1,0.02,0.89549
PRPF4,-0.03,0.87137
LSM6,0.17,0.7398
RFNG,-0.2,0.35318
PYGL,-0.26,0.51605
FGFR2,-0.82,0.00195
MMP2,-1.69,4.7e-4
LRPAP1,-0.06,0.79704
WASF3,0.52,0.01987
CRK,-0.17,0.58226
MSH6,-0.18,0.4253
