HGNC_Symbol,LFC,p
CFLAR,0.03,0.49086
CAT,-0.14,0.53458
DCTD,0.02,0.80398
CYB561,0.01,0.60746
PRKX,0.38,0.07491
RGS2,0.15,0.25978
CLTB,-0.04,0.62708
UBE2A,-0.06,0.53916
TMEM97,-0.09,0.45959
DNAJB6,0.15,0.41451
P4HTM,-0.14,0.18503
TSPAN6,0,0.932
NENF,-0.05,0.5041
TLR4,-0.03,0.8187
CRELD2,0.02,0.91659
KIT,0.21,0.41268
HPRT1,-0.32,0.32561
CTSL,0.05,0.59405
SKP1,-0.09,0.39794
RRAGA,-0.16,0.3022
SMARCC1,0.09,0.57474
UBE2J1,0.12,0.20801
GNAS,0.12,0.51748
NUDT9,0.23,0.038
GSTM2,0.36,0.0337
CTNND1,-0.02,0.47157
REEP5,-0.14,0.53244
SLC35A3,-0.04,0.39949
RRP8,0.05,0.61633
CTNNAL1,-0.04,0.73921
WDTC1,-0.03,0.36571
C2CD2,0.17,0.17351
ABCF3,-0.15,0.22528
ATMIN,-0.04,0.30014
KLHL9,-0.1,0.39435
TNFRSF21,0,0.81681
ZDHHC6,-0.03,0.70094
METRN,0.25,0.33845
THAP11,0.09,0.25283
TCFL5,-0.03,0.58932
PLEKHJ1,-0.25,0.02858
LRRC41,-0.17,0.31086
NET1,-0.29,0.15099
HLA-DMA,0.42,0.07124
BACE2,0.39,0.11233
RAI14,0.38,0.39055
KLHDC2,-0.04,0.75943
SH3BP5,-0.01,0.84916
LRP10,0.29,0.30867
TM9SF2,-0.08,0.52124
ENOSF1,-0.23,0.20269
ALAS1,-0.14,0.27628
ATP6V0B,-0.07,0.70479
ST6GALNAC2,0.09,0.60674
FZD7,0.32,0.07402
BAG3,0.76,7.7e-4
NFKBIA,0.21,0.3129
S100A13,-0.08,0.7127
NISCH,-0.05,0.48075
DUSP14,0.01,0.92572
HS2ST1,0.02,0.34135
MPZL1,0.08,0.39259
PRKACA,-0.14,0.5697
CDK19,-0.02,0.57131
MBOAT7,-0.08,0.39941
LGALS8,-0.05,0.36918
RALGDS,0.19,0.24048
RASA1,-0.06,0.68697
CSNK1A1,0.13,0.32683
NOLC1,-0.09,0.48634
HES1,-0.07,0.76705
INTS3,0.46,0.14895
DHDDS,0.1,0.71737
UBQLN2,-0.04,0.71679
MAPKAPK5,-0.17,0.22296
ASCC3,0.18,0.37112
HMGCS1,-0.29,0.14039
CEBPD,0.46,0.0415
RTN2,0.14,0.28687
PLEKHM1,0.18,0.44059
B4GAT1,0.04,0.61619
RNPS1,-0.25,0.35779
PRPF4,-0.09,0.46245000000000003
LSM6,-0.01,0.92925
RFNG,0.06,0.61934
PYGL,0.47,0.00529
FGFR2,0.2,0.36092
MMP2,0.07,0.37005
LRPAP1,-0.12,0.38547
WASF3,-0.01,0.91761
CRK,0.1,0.62889
MSH6,0.06,0.43008
KLHL21,0.44,0.01526
GLRX,-0.01,0.89266
EBP,-0.04,0.76897
SYNE2,-0.02,0.40598
SLC35F2,-0.06,0.59181
CDKN1A,0.15,0.62631
EPHA3,0.53,0.29306
ABL1,0.18,0.2934
TP53BP1,0.01,0.48611
TCEA2,0.08,0.3652
STX1A,-0.18,0.38462
CISD1,-0.15,0.33889
COL1A1,-0.24,0.57904
KCTD5,0.03,0.67462
PTK2,0.03,0.4931
TERF2IP,-0.07,0.55428
DECR1,-0.09,0.51541
SNX11,0.02,0.4253
EBNA1BP2,-0.1,0.46138
BCL7B,-0.07,0.53635
FDFT1,-0.03,0.52688
DNAJB1,0.47,0.01681
NPC1,-0.05,0.23849
SNCA,-0.13,0.62579
PSME2,0.05,0.64371
PSIP1,-0.01,0.6967
COG2,0.36,0.26504
RALA,-0.06,0.56938
RPA2,-0.07,0.52516
SCP2,0.07,0.55387
NCK2,0.05,0.68309
CDK6,-0.15,0.36787
CDC42,-0.25,0.29687
ADO,0.01,0.90588
JUN,-0.01,0.77435
TMCO1,0,0.50171
TSPAN4,0.14,0.73102
HSPA1A,0.94,0.00529
RAD51C,-0.17,0.21482
ITGAE,-0.01,0.87039
EGFR,0,0.63447
PRR7,-0.34,0.02117
SLC25A4,-0.04,0.6738
FKBP4,0.35,0.14117
EIF5,-0.04,0.68079
SYPL1,0.04,0.82423
ACAT2,-0.21,0.25861
RAB4A,-0.06,0.57537
RNF167,-0.02,0.82177
PSMD10,-0.07,0.3284
TESK1,0,0.98937
BAMBI,0.26,0.24919
CRKL,-0.07,0.52818
UTP14A,0.24,0.27255
EAPP,-0.08,0.59731
PLSCR1,0.07,0.08502
CIAPIN1,-0.11,0.41131
SMNDC1,0.12,0.2985
ARHGEF12,-0.15,0.4103
MPC2,-0.19,0.24669
CDC25B,0.13,0.29932
INPP1,-0.21,0.10772
CYCS,-0.09,0.49867
CALM3,-0.06,0.66106
CAB39,0.12,0.5529
IER3,0.28,0.10487
HSPD1,-0.01,0.53066
PIK3C2B,0.25,0.65206
FIS1,-0.12,0.29264
DLD,-0.17,0.21778
MALT1,-0.03,0.22272
TPD52L2,0.19,0.13774
ACD,0.01,0.90768
NUCB2,0.07,0.15928
PMAIP1,-1.97,0.00528
GTF2A2,-0.04,0.3009
ITFG1,-0.06,0.38644
KTN1,0.03,0.58663
USP7,-0.05,0.64026
SNX6,0.22,0.36957
DNTTIP2,0.01,0.97475
PSMD9,-0.11,0.56737
MYCBP,-0.17,0.39872
PIH1D1,-0.04,0.65719
LAGE3,0.03,0.35952
CLSTN1,-0.04,0.77389
ARID5B,0.26,0.34548
PDLIM1,0.47,0.07547
GPC1,-0.17,0.46358
SCARB1,0.19,0.13489
MVP,-0.17,0.72409
NUP93,-0.63,0.04164
GADD45B,0.24,0.34953
ASAH1,-0.07,0.32316
SOX2,-0.08,0.45669
PDGFA,-0.04,0.448
ATP6V1D,-0.08,0.2359
VDAC1,-0.16,0.54142
MKNK1,0.08,0.29385
LPGAT1,-0.07,0.45259
LYRM1,-0.02,0.82371
NR3C1,0.11,0.3676
COG7,0.12,0.55894
ACLY,-0.15,0.3533
UGDH,0.27,0.30874
PCMT1,-0.12,0.56259
USP14,-0.05,0.6204
PNKP,0.05,0.67305
MLLT11,-0.12,0.47283
PSRC1,0.04,0.79824
MAPK9,-0.24,0.23177
IGF2BP2,-0.38,0.26628
NUP133,-0.11,0.44416
TXLNA,0.27,0.11615
DCUN1D4,-0.02,0.85605
ECH1,0.07,0.62045
NRAS,-0.07,0.51307
TBC1D31,-0.27,0.32877
NPRL2,-0.01,0.93584
ITGB5,0.15,0.62991
STXBP1,-0.18,0.21148
VAT1,0.11,0.3395
DNAJB2,0.12,0.34114
KDM5B,0.19,0.21389
ELOVL6,0.02,0.79076
GATA2,0.23,0.36998
