HGNC_Symbol,dataset,LFC,p
CFLAR,hiPSC_Neuron,-1.34,2.1e-4
CFLAR,BloodmRNA,-0.62,0.0832
CFLAR,DISC1_RNA,0.45,0.5332
CFLAR,gandalMicro,0.08,0.00276
CFLAR,gandalRNAseq,0.07,0.00294
CFLAR,hiPSC_NPC1,-1.09,0.00244
CFLAR,MtSinaiACC,-0.36,0.1732
CFLAR,MtSinaiDLPFC,-0.16,0.43021
CFLAR,MtSinaiMTA,-0.15,0.59805
CFLAR,MtSinaiTPA,-0.15,0.31217
CFLAR,Stanley,0.05,7e-5
CFLAR,CommonMind_DLPFC,0.02,0.2255
CFLAR,Deep_Neurons,0.08,0.42515
CFLAR,Superficial_Neurons,0.08,0.40772
CFLAR,Superficial_Deep_Neurons,0.16,0.27246
CFLAR,Lewis_2017_L3,0.2,0.05026
CFLAR,Lewis_2017_L5,0.23,0.03256
CFLAR,Lewis_2015_L3,0.09,0.13316
CFLAR,Lewis_2015_L5,0.01,0.89162
CFLAR,barnesAll,0.05,0.4889
CFLAR,barnesFemale,0.18,0.42033
CFLAR,barnesMale,-0.04,0.62704
CFLAR,Iwamoto_BA10_SCZ,0.19,0.51643
CFLAR,Iwamoto_BA46_SCZ,0.07,0.41563
CFLAR,MaycoxAll,0.08,0.42425
CFLAR,MaycoxFemale,0.03,0.49086
CFLAR,MaycoxMale,0.12,0.36403
CFLAR,PietersenAllParvalbumin,-0.01,0.53967
CFLAR,PietersenAllPyramidal,-0.12,0.64236
CFLAR,PietersenFemaleParvalbumin,-0.01,0.46152
CFLAR,PietersenFemalePyramidal,0.14,0.50016
CFLAR,PietersenMaleParvalbumin,-0.01,0.54407
CFLAR,PietersenMalePyramidal,-0.45,0.41495
CAT,hiPSC_Neuron,1.56,7.2e-4
CAT,BloodmRNA,-0.58,0.062
CAT,DISC1_RNA,0.8,0.29447
CAT,gandalMicro,0.1,0.00965
CAT,gandalRNAseq,-0.04,0.29186
CAT,hiPSC_NPC1,1.58,5.8e-4
CAT,MtSinaiACC,-0.42,0.04295
CAT,MtSinaiDLPFC,0.2,0.29576
CAT,MtSinaiMTA,0.26,0.16269
CAT,MtSinaiTPA,0.19,0.20688
CAT,Stanley,0,0.98509
CAT,CommonMind_DLPFC,-0.04,0.103
CAT,Deep_Neurons,0.03,0.75457
CAT,Superficial_Neurons,0.03,0.79452
CAT,Superficial_Deep_Neurons,0.06,0.69853
CAT,Lewis_2017_L3,0.2,0.30493
CAT,Lewis_2017_L5,0.22,0.26873
CAT,Lewis_2015_L3,-0.03,0.85997
CAT,Lewis_2015_L5,-0.22,0.19619
CAT,barnesAll,0.29,0.49208
CAT,barnesFemale,0.56,0.28032
CAT,barnesMale,0.21,0.47937
CAT,Iwamoto_BA10_SCZ,-0.25,0.07108
CAT,Iwamoto_BA46_SCZ,-0.08,0.79221
CAT,MaycoxAll,-0.03,0.46793
CAT,MaycoxFemale,-0.14,0.53458
CAT,MaycoxMale,0.1,0.49627
CAT,PietersenAllParvalbumin,-0.07,0.06128
CAT,PietersenAllPyramidal,-0.99,0.04775
CAT,PietersenFemaleParvalbumin,0.62,0.21989
CAT,PietersenFemalePyramidal,-0.45,0.21501
CAT,PietersenMaleParvalbumin,-0.76,0.127
CAT,PietersenMalePyramidal,-1.67,0.03832
DCTD,hiPSC_Neuron,-0.28,0.00108
DCTD,BloodmRNA,0.14,0.492
DCTD,DISC1_RNA,-0.76,0.0621
DCTD,gandalMicro,-0.02,0.23135
DCTD,gandalRNAseq,-0.03,0.07868
DCTD,hiPSC_NPC1,-0.13,0.13775
DCTD,MtSinaiACC,0.04,0.74497
DCTD,MtSinaiDLPFC,0.09,0.62821
DCTD,MtSinaiMTA,0.05,0.64792
DCTD,MtSinaiTPA,0.15,0.064
DCTD,Stanley,-0.03,0.33981
DCTD,CommonMind_DLPFC,0.01,0.5401
DCTD,Deep_Neurons,0.06,0.52561
DCTD,Superficial_Neurons,0.06,0.5417
DCTD,Superficial_Deep_Neurons,0.12,0.40027
DCTD,Lewis_2017_L3,0.16,0.62738
DCTD,Lewis_2017_L5,0.41,0.24571
DCTD,Lewis_2015_L3,-0.27,0.08296
DCTD,Lewis_2015_L5,-0.49,0.00189
DCTD,barnesAll,0,0.64901
DCTD,barnesFemale,-0.04,0.74927
DCTD,barnesMale,0.02,0.54042
DCTD,Iwamoto_BA10_SCZ,0.07,0.57456
DCTD,Iwamoto_BA46_SCZ,-0.04,0.08305
DCTD,MaycoxAll,0.03,0.46382
DCTD,MaycoxFemale,0.02,0.80398
DCTD,MaycoxMale,0.03,0.41878
DCTD,PietersenAllParvalbumin,1.22,0.17556
DCTD,PietersenAllPyramidal,0,0.69298
DCTD,PietersenFemaleParvalbumin,1.16,0.30647
DCTD,PietersenFemalePyramidal,0.13,0.58355
DCTD,PietersenMaleParvalbumin,1.29,0.28667
DCTD,PietersenMalePyramidal,-0.17,0.86623000000000006
CYB561,hiPSC_Neuron,-0.47,0.00299
CYB561,BloodmRNA,0.15,0.259
CYB561,DISC1_RNA,-0.91,0.01338
CYB561,gandalMicro,0,0.92453
CYB561,gandalRNAseq,-0.05,0.11224
CYB561,hiPSC_NPC1,-0.08,0.62116
CYB561,MtSinaiACC,0.24,0.08629
CYB561,MtSinaiDLPFC,0.09,0.50977
CYB561,MtSinaiMTA,0,0.98155
CYB561,MtSinaiTPA,0.03,0.80021
CYB561,Stanley,0.01,0.59592
